_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ecb0b5422709a28eaef620,2023-08-28T14:35:33.002Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:9th,0
64ecb0cc422709a28eaef622,2023-08-28T14:35:55.891Z,2,1012,1012,modify_value_categorical,Workclass#Prefrences_acceptable_values:Private,0
64ecb104422709a28eaef624,2023-08-28T14:36:51.491Z,2,1012,1012,interface_2,resubmit_loan_plan,0
64ecb1d1422709a28eaef626,2023-08-28T14:40:14.818Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#hardship_flag#N#Y#smily_value#4,0
64ecb1d6422709a28eaef628,2023-08-28T14:40:22.327Z,2,1012,1012,modify_plan_button,#CLICKED#education#Assoc-voc#Prof-school#hardship_flag#N#Y,0
64ecb1de422709a28eaef62a,2023-08-28T14:40:30.023Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Assoc-voc,0
64ecb1e1422709a28eaef62c,2023-08-28T14:40:33.677Z,2,1012,1012,modify_value_categorical,Education#Prefrences_acceptable_values:Assoc-acdm,0
64ecb1e8422709a28eaef62e,2023-08-28T14:40:39.551Z,2,1012,1012,interface_2,resubmit_loan_plan,0
64ecb20d422709a28eaef630,2023-08-28T14:41:17.383Z,2,1012,1012,smily_interaction,#capital_gain#0#2965.231155778895#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#4,0
64ecb23c422709a28eaef632,2023-08-28T14:42:04.444Z,2,1012,1012,smily_interaction,#capital_gain#0#2965.231155778895#education#Assoc-voc#Assoc-acdm#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
64ecb23e422709a28eaef634,2023-08-28T14:42:05.995Z,2,1012,1012,keep_plan_button,#CLICKED##capital_gain#0#2965.231155778895#education#Assoc-voc#Assoc-acdm#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y,0
64ecb917422709a28eaef636,2023-08-28T15:11:18.427Z,1,1012,1012,session_started,"""clicked#1012""",0
64ecb91f422709a28eaef638,2023-08-28T15:11:26.740Z,1,1012,1012,request_plans_button,clicked,0
64ecb96a422709a28eaef63a,2023-08-28T15:12:42.256Z,1,1012,1012,smily_interaction#5,@education#Bachelors#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Self-emp-not-inc#Federal-gov@hardship_flag#N#Y,0
64ecb981422709a28eaef63c,2023-08-28T15:13:04.426Z,1,1012,1012,level_of_difficulty,education#2,0
64ecb99c422709a28eaef63e,2023-08-28T15:13:32.670Z,1,1012,1012,change_acceptable_values,education#Bachelors,0
64ecb9d0422709a28eaef640,2023-08-28T15:14:24.286Z,1,1012,1012,level_of_difficulty,occupation#2,0
64ecb9d2422709a28eaef642,2023-08-28T15:14:26.518Z,1,1012,1012,level_of_difficulty,occupation#1,0
64ecba26422709a28eaef644,2023-08-28T15:15:49.721Z,1,1012,1012,change_acceptable_values,occupation#Sales,0
64ecba2c422709a28eaef646,2023-08-28T15:15:55.570Z,1,1012,1012,change_acceptable_values,"occupation#Sales,Prof-specialty",0
64ecba34422709a28eaef648,2023-08-28T15:16:04.095Z,1,1012,1012,change_acceptable_values,"occupation#Sales,Prof-specialty,Machine-op-inspct",0
64ecba41422709a28eaef64a,2023-08-28T15:16:16.996Z,1,1012,1012,level_of_difficulty,occupation#2,0
64ecba41422709a28eaef64c,2023-08-28T15:16:17.522Z,1,1012,1012,level_of_difficulty,occupation#1,0
64ecba49422709a28eaef64e,2023-08-28T15:16:25.619Z,1,1012,1012,level_of_difficulty,workclass#4,0
64ecba4c422709a28eaef650,2023-08-28T15:16:28.035Z,1,1012,1012,level_of_difficulty,workclass#3,0
64ecba4d422709a28eaef652,2023-08-28T15:16:29.274Z,1,1012,1012,level_of_difficulty,workclass#4,0
64ecba4d422709a28eaef654,2023-08-28T15:16:29.723Z,1,1012,1012,level_of_difficulty,workclass#3,0
64ecba5e422709a28eaef656,2023-08-28T15:16:46.012Z,1,1012,1012,change_acceptable_values,workclass#State-gov,0
64ecba60422709a28eaef658,2023-08-28T15:16:48.485Z,1,1012,1012,change_acceptable_values,"workclass#State-gov,Federal-gov",0
64ecba64422709a28eaef65a,2023-08-28T15:16:51.700Z,1,1012,1012,change_acceptable_values,"workclass#State-gov,Federal-gov,Self-emp-not-inc",0
64ecbaaa422709a28eaef65c,2023-08-28T15:18:01.367Z,1,1012,1012,level_of_difficulty,hardship_flag#4,0
64ecbaab422709a28eaef65e,2023-08-28T15:18:03.151Z,1,1012,1012,level_of_difficulty,hardship_flag#5,0
